product_id,product_name,category,subcategory,brand,unit_cost,unit_price
P00001,Sequi Smartwatch,Electronics,Smartwatch,Bhatti and Sons,3888.38,6855.93
P00002,Harum Mat,Lifestyle,Mat,"Nair, Raj and Wali",1727.65,2389.61
P00003,Impedit Bag,Lifestyle,Bag,Tiwari-Sani,1074.15,1511.19
P00004,Consequuntur Chair,Home,Chair,"Contractor, Kale and Sani",921.87,1225.46
P00005,Odio Vase,Home,Vase,Sachdev LLC,882.15,1581.39
P00006,Odit Speaker,Electronics,Speaker,Sagar-Chandran,1354.74,2292.27
P00007,Ipsam Bottle,Lifestyle,Bottle,Munshi-Kumer,1019.02,1540.25
P00008,Minima Bottle,Lifestyle,Bottle,Som Inc,1923.17,3457.3
P00009,Consectetur Smartwatch,Electronics,Smartwatch,Chander Group,2400.76,3983.35
P00010,Consequatur Smartwatch,Electronics,Smartwatch,"Pradhan, De and Bhasin",957.26,1386.45
